baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TAIR	SYMBOL	GENENAME
1502.5640695453	-1.34409110888543	0.297497155360752	-4.51799650741382	6.24275137560612e-06	0.0029704979620813	AT5G24030	SLAH3	Encodes a protein with ten predicted transmembrane helices. The SLAH3 protein has similarity to the SLAC1 protein involved in ion homeostasis in guard cells. Although it is not expressed in guard cells, it can complement an slac1-2 mutant suggesting that it performs a similar function. SLAH3:GFP localizes to the plasma membrane.
322.177163549674	-1.64996424146849	0.3655218564972	-4.51399611853616	6.36173815193854e-06	0.0029704979620813	AT2G25150	NA	NA
5789.20480415057	-1.38879120045859	0.308297105634346	-4.50471695996315	6.64614655403251e-06	0.00303433513227995	AT4G15390	NA	NA
634.36457325358	-1.00315655566098	0.223375162609205	-4.49090464644007	7.09212986498325e-06	0.00310540847580935	AT5G05790	NA	NA
111.132774681856	2.82992118569744	0.630195511489299	4.49054481363993	7.10412257790408e-06	0.00310540847580935	AT4G23220	CRK14	Encodes a cysteine-rich receptor-like protein kinase.
1480.69276143264	1.12814765520209	0.252876096945442	4.46126648121072	8.14766979419947e-06	0.00338305147867283	AT3G12580	ATHSP70; HSC70-4; HSP70; HSP70-4	NA
514.648852592994	1.7784453004215	0.398588998575619	4.46185245146472	8.12541679515209e-06	0.00338305147867283	AT4G17250	NA	NA
93.6598900869438	-1.71456459678125	0.389202397349821	-4.40532897139423	1.05623459878153e-05	0.00417314227537818	AT1G28660	GGL2; GGL4	NA
165.686150346243	-1.8365609541852	0.417647940961943	-4.39739017976518	1.0956028772074e-05	0.0042470115306087	AT4G23550	ATWRKY29; WRKY29	Encodes WRKY DNA-binding protein 29 (WRKY29).
635.247822502446	-1.22803934235111	0.280692101127188	-4.37504061361049	1.21409871422628e-05	0.00461547314509451	AT5G43350	ATPT1; PHT1;1; PT1	Encodes an inorganic phosphate transporter Pht1;1.  Mutants display enhanced arsenic accumulation.  Members of the Pht1 family of phosphate transporters include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341).
252.891222703855	-1.35719708816369	0.311369673891166	-4.35879663938651	1.30779566524803e-05	0.00479797534687872	AT5G04960	PME46; PMEI-PME46	NA
449.637723018255	1.14984778400462	0.265899693823369	4.32436670938191	1.52970658813554e-05	0.00551365295670957	AT1G63720	NA	NA
157.787875812932	-1.39804306627639	0.32418228015069	-4.31252154074101	1.6140315165821e-05	0.00571728922554814	AT4G28890	ATL42	NA
14098.845322861	1.1213419588549	0.26055558216275	4.30365739834536	1.68001393738448e-05	0.00585015022772273	AT3G50970	LTI30; XERO2	Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments.  LTI29 and LTI30 double overexpressors confer freeze tolerance. Located in membranes. mRNA upregulated by water deprivation and abscisic acid.
1141.46390633192	1.52708955133207	0.357747721124942	4.26862132491052	1.9668483982651e-05	0.0066244098921896	AT4G10310	ATHKT1; HKT1; HKT1;1	encodes a sodium transporter (HKT1) expressed in xylem parenchyma cells. Mutants over-accumulate sodium in shoot tissue and have increased sodium in the xylem sap and reduced sodium in phloem sap and roots.
809.864298544756	-1.22616087305977	0.288468950071683	-4.25058181393551	2.13215934117354e-05	0.00665776686554831	AT1G70690	HWI1; PDLP5	Encodes a plasmodesmal protein that may be involved in the intercellular movement of molecules through the plasmodesmata. The protein has two DUF26 domains and a single transmembrane domain.
15099.736571663	1.82568231002151	0.429924580553514	4.24651762797793	2.17118705277068e-05	0.00665776686554831	AT1G78280	JMJ21	NA
5238.20225117398	1.66389571460326	0.391268507415273	4.25256743916087	2.11333544088212e-05	0.00665776686554831	AT5G63770	ATDGK2; DGK2	a member of the diacylglycerol kinase gene family. Encodes a functional diacylglycerol kinase. Involved in root elongation and plant development. Gene expression is induced by wounding or cold.
5401.572186785	1.59257235202094	0.374893561421997	4.24806536015238	2.15624493320425e-05	0.00665776686554831	AT4G01090	NA	NA
37.7135635186243	-2.49712806100537	0.589230151286187	-4.23795023990978	2.2556974547914e-05	0.00681519179539548	AT4G01680	AtMYB55; MYB55	Encodes a putative transcription factor (MYB55).
7724.57041979662	2.21404146389508	0.525158197727726	4.21595144753501	2.48727274283969e-05	0.00719732654952697	AT1G17420	ATLOX3; LOX3	Lipoxygenase
151.78705371066	-1.21600938788874	0.288426509034548	-4.21601118412829	2.48661433163157e-05	0.00719732654952697	AT5G02350	NA	NA
717.080771870753	-1.08867639815058	0.258839987377099	-4.20598227183697	2.59950611182819e-05	0.00731600726952195	AT1G09090	ATRBOHB; ATRBOHB-BETA; RBOHB	NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds.
40.4019461119023	-1.88752530766593	0.448769477584942	-4.20600197193373	2.59927965081669e-05	0.00731600726952195	AT5G14340	AtMYB40; MYB40	Member of the R2R3 factor gene family.
539.052112157701	-1.14338710104547	0.272498993825245	-4.19593146013128	2.71752424546834e-05	0.00744407118700766	AT1G72430	SAUR78	NA
112.752883723641	2.57289296233075	0.61411650580223	4.18958444858885	2.7946576452588e-05	0.00745665471712235	AT2G44070	NA	NA
385.229695009188	1.94512669123876	0.467396981517453	4.16161586008473	3.16003601414144e-05	0.00811536748881699	AT1G56060	AthCYSTM3	NA
95.1228004382517	-1.47938200481162	0.359195585163006	-4.1185974046431	3.81185441552871e-05	0.0094354878273539	AT5G27100	ATGLR2.1; GLR2.1	member of Putative ligand-gated ion channel subunit family
195.136454117715	1.77396540582496	0.430703494672786	4.11876250777272	3.80912472875628e-05	0.0094354878273539	AT3G14560	NA	NA
20.240983515357	5.27746696756133	1.28236978618906	4.11540183213835	3.86505472584125e-05	0.00945327968362005	AT3G47660	PRAF2	NA
59.9776479452113	-1.37469090396726	0.336143348773217	-4.08959721792596	4.32122922944282e-05	0.010444665237518	AT5G38100	NA	NA
823.784649629238	-1.39968565107729	0.34293693450937	-4.08146662032707	4.47524056827585e-05	0.0106911415668869	AT5G48430	NA	NA
382.727370971321	-1.01139711479932	0.248156379062693	-4.07564423134901	4.58871297221455e-05	0.010836219311971	AT5G52870	MAKR5	NA
585.929250087527	-1.13679801947236	0.279479963132708	-4.06754747900323	4.75105303630276e-05	0.0110920891625955	AT2G44940	ERF34	encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.
1412.36886969829	-1.40061975574422	0.344754027822117	-4.06266393634972	4.85158525321729e-05	0.011199530227792	AT3G09220	LAC7	putative laccase,  a member of laccase family of genes (17 members in Arabidopsis).
731.998206981608	-1.06352038769506	0.264133254083098	-4.02645396312149	5.6624319527493e-05	0.0129260738299149	AT2G39430	NA	NA
56.5199204439763	-1.88659649266484	0.470436968503463	-4.01030662761563	6.06399462597781e-05	0.0135418227815994	AT4G08620	SULTR1;1	Encodes a sulfate transporter. Contains STAS domain. Expressed in roots and guard cells. Up-regulated by sulfur deficiency.
376.88040185296	-2.0267872267625	0.505800649264768	-4.00708704053393	6.14722135704221e-05	0.0135800712667131	AT4G12545	NA	NA
36.4282272497703	3.57169096407992	0.901903564756771	3.96016947226852	7.48965921398892e-05	0.0157015355664696	AT5G44310	NA	NA
4831.24254249821	1.28268935107574	0.323794686376341	3.96142804389597	7.45028350395366e-05	0.0157015355664696	AT5G15960	KIN1	cold and ABA inducible protein kin1, possibly functions as an anti-freeze protein. Transcript level of this gene is induced by cold, ABA, dehydration and osmoticum (mannitol). However, protein activity of GUS fused to the promoter of this gene is inhibited by cold treatment, suggesting an inhibition of the protein by increased transcript level.
683.224058927774	1.75684913329933	0.443539312642385	3.96097726452453	7.46436404455657e-05	0.0157015355664696	AT2G21510	NA	NA
651.893826206833	-1.24783623311178	0.316799310649365	-3.93888556939725	8.18609589548223e-05	0.0168183340172682	AT4G36220	CYP84A1; F5H; FAH1	encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis.
460.893788589573	-1.64878645824955	0.419352636837524	-3.93174219836459	8.43324752403396e-05	0.0171545614238889	AT3G07600	NA	NA
146.286632632811	1.11604910187865	0.284463453691324	3.92334792886855	8.73268948791319e-05	0.0173405707072884	AT1G66950	ABCG39; ATPDR11; PDR11	NA
70.0563630689713	2.08838035316228	0.53337587327926	3.91540086041512	9.02541261224677e-05	0.0176597240112962	AT3G62990	NA	NA
1710.34978816698	1.70467520381942	0.436205106604468	3.9079670962338	9.30759781925086e-05	0.0178280482360844	AT5G10100	TPPI	NA
140.301560088103	-1.91310329099706	0.489923427889642	-3.90490264823179	9.42633238271437e-05	0.0178280482360844	AT4G04745	NA	NA
58.2985727054868	1.91943434617527	0.49395145743435	3.88587647082786	0.000101961347125032	0.0183688639413774	AT5G57030	LUT2	Lutein-deficient 2 (LUT2) required for lutein biosynthesis, member of the xanthophyll class of carotenoids. Encodes lycopene epsilon cyclase
138.370820293687	-1.10743054521859	0.285292561160272	-3.88173649083145	0.00010371322546604	0.0183688639413774	AT2G28650	ATEXO70H8; EXO70H8	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
190.310600760468	-1.05256696817149	0.27109740219833	-3.88261547191607	0.000103338916120595	0.0183688639413774	AT2G43060	AtIBH1; IBH1	NA
652.46247836429	1.40788682844608	0.36206309936117	3.88851233646891	0.000100860544591393	0.0183688639413774	AT4G27410	ANAC072; ANAC72; AtRD26; RD26	Encodes a NAC transcription factor induced in response to dessication. It is localized to the nucleus and acts as a transcriptional activator in ABA-mediated dehydration response.
18.7343437584641	3.25463681600375	0.842440019572486	3.86334544939518	0.000111844665654855	0.0194732936938898	AT5G03620	NA	NA
941.085472386813	-1.09240967140652	0.282924308372258	-3.86113755191788	0.000112860339971572	0.0194850057539156	AT3G20940	CYP705A30	a member of A-type cytochrome P450
544.122480098498	2.20410368097024	0.571638697736211	3.85576359630458	0.000115368939075913	0.0197521237776219	AT1G66090	TN3	NA
51.7816482646138	-1.71128330914388	0.445970199390131	-3.83721448537163	0.000124437781048016	0.019973236028371	AT1G66440	NA	NA
1300.71468225116	2.30539455957688	0.599435765325269	3.84594095470081	0.000120090681955013	0.019973236028371	AT5G43650	BHLH92	NA
952.406740940947	-1.138894860995	0.296753455765614	-3.83784868842281	0.000124116919732999	0.019973236028371	AT5G53250	AGP22; ATAGP22	NA
15.6091319676294	-2.88485967121794	0.751384517117395	-3.83939195644513	0.000123339391591063	0.019973236028371	AT3G09290	TAC1	encodes activation factor TAC1 which mediates telomerase activity
189.317618351626	-1.31163356369142	0.34171277014259	-3.8384095600059	0.00012383380889026	0.019973236028371	AT4G18430	AtRABA1e; RABA1e	NA
84.9392817630507	2.29335120801622	0.599784937005236	3.82362254621977	0.000131505183930983	0.0206242290371149	AT1G32960	ATSBT3.3; SBT3.3	NA
352.776548824829	1.71187588960037	0.447508387805263	3.82534928115203	0.000130586807879293	0.0206242290371149	AT2G31690	DALL5	encodes a triacylglycerol lipase located in plastoglobuli and involved in the degradation of triacylglycerol. It also has impact on leaf senescence and maintaining the structural integrity of thylakoids.
298.356866775459	1.19584804590202	0.312517260798395	3.82650239173019	0.000129976887239906	0.0206242290371149	AT2G23600	ACL; ATME8; ATMES2; ME8; MES2	Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES2 appears to be involved in MeSA hydrolysis in planta. This protein does not act on MeGA4, or MEGA9 in vitro.
702.769636223717	-1.47996729637104	0.387469131823709	-3.81957470884261	0.000133681966578427	0.0208067879041953	AT1G65310	ATXTH17; XTH17	Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity. Expressed in the mature or basal regions of both the main and lateral roots, but not in the tip of these roots where cell division occurs.
181.694994822844	1.08743138840695	0.285213085242874	3.81269810072335	0.000137457975624329	0.0212336399188109	AT1G49310	NA	NA
492.810503391836	-1.1890605983947	0.312080051083728	-3.81011408536231	0.000138902678990004	0.0212966831332062	AT3G22240	AthCYSTM9	NA
95.9386408512631	-1.62860208922019	0.430834203100981	-3.78011327210822	0.000156757026925929	0.0236806846925972	AT2G41380	NA	NA
2935.22225579531	1.7574067361109	0.466710667825044	3.76551653361757	0.000166205124232335	0.0246669491811315	AT5G20230	ATBCB; BCB; SAG14	Al-stress-induced gene
1994.92045656781	1.27407457950215	0.33886978883054	3.75977623705868	0.00017006540127925	0.0249570976377299	AT3G22910	ACA13	NA
31.6487609802221	-1.79040617492877	0.477472769828114	-3.74975556317756	0.00017700702416307	0.0257915554002146	AT5G20045	NA	NA
55.4407056616002	-1.60672066418207	0.428717876867131	-3.74773423474483	0.000178439174325366	0.0258171326515115	AT1G26970	PBL4	NA
